Date,Academic_Break,Closed,Fully_Open,Partially_Open,Total
2021-02-02,21,39,88,62,210
2021-02-03,21,40,88,61,210
2021-02-04,21,40,88,61,210
2021-02-05,20,41,88,61,210
2021-02-06,20,41,88,61,210
2021-02-07,18,42,88,62,210
2021-02-08,14,39,90,67,210
2021-02-09,14,37,91,68,210
2021-02-10,14,37,92,67,210
2021-02-11,14,37,92,67,210
2021-02-12,15,36,91,68,210
2021-02-13,15,36,91,68,210
2021-02-14,16,36,90,68,210
2021-02-15,16,36,88,70,210
2021-02-16,16,36,89,69,210
2021-02-17,14,36,89,71,210
2021-02-18,13,37,91,69,210
2021-02-19,15,37,89,69,210
2021-02-20,15,37,89,69,210
2021-02-21,15,37,89,69,210
2021-02-22,15,32,92,71,210
2021-02-23,15,32,95,68,210
2021-02-24,15,32,95,68,210
2021-02-25,15,32,95,68,210
2021-02-26,15,32,95,68,210
2021-02-27,16,33,95,66,210
2021-02-28,14,34,96,66,210
2021-03-01,6,32,100,72,210
2021-03-02,4,32,101,73,210
2021-03-03,4,32,101,73,210
2021-03-04,4,32,101,73,210
2021-03-05,5,32,100,73,210
2021-03-06,5,32,100,73,210
2021-03-07,5,32,101,72,210
2021-03-08,6,33,102,69,210
2021-03-09,5,33,103,69,210
2021-03-10,5,36,103,66,210
2021-03-11,6,35,103,66,210
2021-03-12,6,36,103,65,210
2021-03-13,8,35,102,65,210
2021-03-14,7,35,103,65,210
2021-03-15,7,33,103,67,210
2021-03-16,7,34,102,67,210
2021-03-17,7,33,103,67,210
2021-03-18,7,33,103,67,210
2021-03-19,8,33,103,66,210
2021-03-20,10,35,101,64,210
2021-03-21,9,37,100,64,210
2021-03-22,7,40,103,60,210
2021-03-23,9,41,102,58,210
2021-03-24,9,41,102,58,210
2021-03-25,8,41,103,58,210
2021-03-26,12,41,100,57,210
2021-03-27,19,40,96,55,210
2021-03-28,19,40,96,55,210
2021-03-29,26,40,92,52,210
2021-03-30,24,40,92,54,210
2021-03-31,28,40,88,54,210
2021-04-01,41,39,82,48,210
2021-04-02,46,39,79,46,210
2021-04-03,51,38,74,47,210
2021-04-04,51,39,74,46,210
2021-04-05,49,40,74,47,210
2021-04-06,38,38,80,54,210
2021-04-07,34,38,82,56,210
2021-04-08,34,38,82,56,210
2021-04-09,35,38,81,56,210
2021-04-10,36,39,81,54,210
2021-04-11,36,39,81,54,210
2021-04-12,25,33,91,61,210
2021-04-13,21,33,94,62,210
2021-04-14,21,32,94,63,210
2021-04-15,21,32,94,63,210
2021-04-16,21,31,95,63,210
2021-04-17,21,32,94,63,210
2021-04-18,21,31,94,64,210
2021-04-19,15,26,101,68,210
2021-04-20,15,26,101,68,210
2021-04-21,14,25,102,69,210
2021-04-22,15,26,100,69,210
2021-04-23,18,27,97,68,210
2021-04-24,19,27,96,68,210
2021-04-25,18,27,97,68,210
2021-04-26,17,28,98,67,210
2021-04-27,17,28,98,67,210
2021-04-28,17,28,99,66,210
2021-04-29,18,28,98,66,210
2021-04-30,18,29,98,65,210
2021-05-01,22,30,97,61,210
2021-05-02,22,30,97,61,210
2021-05-03,18,26,103,63,210
2021-05-04,19,26,101,64,210
2021-05-05,19,24,101,66,210
2021-05-06,19,24,101,66,210
2021-05-07,20,24,100,66,210
2021-05-08,22,25,98,65,210
2021-05-09,22,25,98,65,210
2021-05-10,20,25,103,62,210
2021-05-11,19,25,104,62,210
2021-05-12,19,24,105,62,210
2021-05-13,20,24,105,61,210
2021-05-14,19,24,106,61,210
2021-05-15,21,24,103,62,210
2021-05-16,21,24,103,62,210
2021-05-17,17,24,105,64,210
2021-05-18,17,24,105,64,210
2021-05-19,16,26,104,64,210
2021-05-20,16,26,104,64,210
2021-05-21,17,26,104,63,210
2021-05-22,18,26,103,63,210
2021-05-23,18,26,103,63,210
2021-05-24,14,25,107,64,210
2021-05-25,13,27,106,64,210
2021-05-26,15,27,104,64,210
2021-05-27,16,28,103,63,210
2021-05-28,18,26,102,64,210
2021-05-29,21,25,101,63,210
2021-05-30,21,25,101,63,210
2021-05-31,20,24,103,63,210
2021-06-01,26,24,101,59,210
2021-06-02,27,23,101,59,210
2021-06-03,27,23,101,59,210
2021-06-04,27,23,101,59,210
2021-06-05,29,22,99,60,210
2021-06-06,30,23,99,58,210
2021-06-07,31,22,99,58,210
2021-06-08,31,22,98,59,210
2021-06-09,32,22,97,59,210
2021-06-10,35,22,96,57,210
2021-06-11,37,22,95,56,210
2021-06-12,41,22,92,55,210
2021-06-13,41,21,92,56,210
2021-06-14,41,22,91,56,210
2021-06-15,45,21,90,54,210
2021-06-16,48,21,87,54,210
2021-06-17,49,22,85,54,210
2021-06-18,52,22,82,54,210
2021-06-19,57,22,81,50,210
2021-06-20,58,22,80,50,210
2021-06-21,63,22,79,46,210
2021-06-22,63,22,79,46,210
2021-06-23,65,22,78,45,210
2021-06-24,66,22,79,43,210
2021-06-25,70,22,77,41,210
2021-06-26,80,21,72,37,210
2021-06-27,81,21,71,37,210
2021-06-28,81,22,69,38,210
2021-06-29,83,22,67,38,210
2021-06-30,86,22,64,38,210
2021-07-01,100,22,53,35,210
2021-07-02,109,19,50,32,210
2021-07-03,111,19,49,31,210
2021-07-04,112,19,49,30,210
2021-07-05,113,18,48,31,210
2021-07-06,114,18,48,30,210
2021-07-07,115,18,46,31,210
2021-07-08,116,18,45,31,210
2021-07-09,122,16,42,30,210
2021-07-10,124,16,42,28,210
2021-07-11,126,17,41,26,210
2021-07-12,126,17,40,27,210
2021-07-13,127,17,40,26,210
2021-07-14,127,17,40,26,210
2021-07-15,128,17,39,26,210
2021-07-16,131,17,36,26,210
2021-07-17,134,17,34,25,210
2021-07-18,135,16,34,25,210
2021-07-19,135,16,33,26,210
2021-07-20,135,16,33,26,210
2021-07-21,136,16,32,26,210
2021-07-22,138,16,31,25,210
2021-07-23,139,17,30,24,210
2021-07-24,139,17,29,25,210
2021-07-25,140,16,29,25,210
2021-07-26,136,17,32,25,210
2021-07-27,136,17,32,25,210
2021-07-28,137,17,32,24,210
2021-07-29,137,17,32,24,210
2021-07-30,139,17,31,23,210
2021-07-31,139,16,31,24,210
2021-08-01,143,16,30,21,210
2021-08-02,141,15,33,21,210
2021-08-03,141,15,33,21,210
2021-08-04,141,15,33,21,210
2021-08-05,141,13,33,23,210
2021-08-06,142,12,33,23,210
2021-08-07,142,13,32,23,210
2021-08-08,143,13,31,23,210
2021-08-09,137,12,36,25,210
2021-08-10,136,12,37,25,210
2021-08-11,136,11,38,25,210
2021-08-12,136,11,38,25,210
2021-08-13,138,11,37,24,210
2021-08-14,141,11,34,24,210
2021-08-15,141,12,34,23,210
2021-08-16,135,13,39,23,210
2021-08-17,133,14,40,23,210
2021-08-18,130,15,42,23,210
2021-08-19,131,15,42,22,210
2021-08-20,131,15,43,21,210
2021-08-21,132,15,42,21,210
2021-08-22,132,15,42,21,210
2021-08-23,129,16,43,22,210
2021-08-24,128,17,43,22,210
2021-08-25,128,17,43,22,210
2021-08-26,128,16,43,23,210
2021-08-27,128,16,43,23,210
2021-08-28,130,16,42,22,210
2021-08-29,127,16,42,25,210
2021-08-30,120,16,47,27,210
2021-08-31,120,15,47,28,210
2021-09-01,89,14,74,33,210
2021-09-02,86,14,77,33,210
2021-09-03,86,15,76,33,210
2021-09-04,88,14,75,33,210
2021-09-05,87,14,76,33,210
2021-09-06,66,20,88,36,210
2021-09-07,61,20,94,35,210
2021-09-08,61,20,94,35,210
2021-09-09,59,20,95,36,210
2021-09-10,59,20,95,36,210
2021-09-11,58,21,95,36,210
2021-09-12,57,20,95,38,210
2021-09-13,44,22,105,39,210
2021-09-14,43,22,106,39,210
2021-09-15,37,22,110,41,210
2021-09-16,36,21,110,43,210
2021-09-17,36,20,110,44,210
2021-09-18,40,20,107,43,210
